geo,TIME_PERIOD,energy_group,generation_gwh,total_gwh,share
Albania,2000,Hydro,4594.0,4594.0,1.0
Albania,2001,Hydro,3555.0,3555.0,1.0
Albania,2002,Hydro,3512.0,3512.0,1.0
Albania,2003,Hydro,4885.0,4885.0,1.0
Albania,2004,Hydro,5466.0,5466.0,1.0
Albania,2005,Hydro,5373.0,5373.0,1.0
Albania,2006,Hydro,5431.0,5431.0,1.0
Albania,2007,Hydro,2788.0,2788.0,1.0
Albania,2008,Hydro,3797.0,3797.0,1.0
Albania,2009,Hydro,5201.0,5201.0,1.0
Albania,2010,Hydro,7567.0,7567.0,1.0
Albania,2011,Hydro,4132.0,4132.0,1.0
Albania,2012,Hydro,4725.0,4725.0,1.0
Albania,2013,Hydro,6959.0,6959.0,1.0
Albania,2014,Hydro,4724.441,4724.441,1.0
Albania,2015,Hydro,5895.0,5895.0,1.0
Albania,2016,Hydro,7781.702,7781.702,1.0
Albania,2017,Hydro,4524.979,4524.979,1.0
Albania,2018,Hydro,8552.152,8552.152,1.0
Albania,2019,Hydro,5183.847,5183.847,1.0
Albania,2020,Hydro,5280.901,5280.901,1.0
Albania,2021,Hydro,8921.94,8921.94,1.0
Albania,2022,Hydro,6841.751,6841.751,1.0
Albania,2023,Hydro,8708.557,8708.557,1.0
Austria,2000,Hydro,41835.352,57135.244,0.7322162131660801
Austria,2001,Hydro,40455.406,58088.873999999996,0.6964398380316341
Austria,2002,Hydro,40226.881,58026.628000000004,0.69324864095153
Austria,2003,Hydro,33214.992,55135.496,0.6024248335409914
Austria,2004,Hydro,36762.142,58870.564,0.6244571055918541
Austria,2005,Hydro,37095.138,61445.826,0.6037047658859692
Austria,2006,Hydro,35656.085,59171.053,0.6025933829502746
Austria,2007,Hydro,37054.453,60166.136000000006,0.615868916694268
Austria,2008,Hydro,38329.491,61761.16300000001,0.620608310112295
Austria,2009,Hydro,40896.304,63797.945,0.6410285472361218
Austria,2010,Hydro,38363.418,64737.045,0.5926037865954493
Austria,2011,Hydro,34237.171,59153.687000000005,0.5787833816681621
Austria,2012,Hydro,43847.698,65777.877,0.666602511358036
Austria,2013,Hydro,42016.72,61345.978,0.6849140134337739
Austria,2014,Hydro,41007.237,58214.894,0.704411434640764
Austria,2015,Hydro,37156.866,57943.144,0.6412642365419453
Austria,2016,Hydro,39971.337,61231.651,0.6527888166856712
Austria,2017,Hydro,38293.75,63152.409999999996,0.6063703665465816
Austria,2018,Hydro,37637.911,61037.740999999995,0.6166334202964687
Austria,2019,Hydro,40825.97,66534.148,0.6136092702351881
Austria,2020,Hydro,41998.029,64634.506,0.649777210334059
Austria,2021,Hydro,38751.33,61442.403,0.630693594454631
Austria,2022,Hydro,34625.11,58282.809,0.594087872463388
Austria,2023,Hydro,40672.636,61512.834,0.6612056924576097
Austria,2024,Hydro,45707.084,67951.1,0.6726467121209222
Belgium,2000,Nuclear,48157.0,78862.0,0.6106489817656159
Belgium,2001,Nuclear,46349.0,74126.0,0.6252731834983677
Belgium,2002,Nuclear,47360.0,77336.0,0.6123926761146168
Belgium,2003,Nuclear,47379.0,80584.0,0.5879454978655813
Belgium,2004,Nuclear,47312.0,78903.465,0.5996187873371595
Belgium,2005,Nuclear,47595.0,79973.726,0.5951329565412521
Belgium,2006,Nuclear,46645.0,79082.186,0.5898294212555024
Belgium,2007,Nuclear,48227.0,83686.943,0.5762786675096975
Belgium,2008,Nuclear,45568.0,80520.89199999999,0.5659152409787016
Belgium,2009,Nuclear,47222.0,87877.007,0.5373646828913962
Belgium,2010,Nuclear,47944.0,89974.59999999999,0.5328614964667807
Belgium,2011,Nuclear,48234.0,85417.8,0.5646832393248246
Belgium,2012,Nuclear,40295.0,76735.6,0.5251148098144798
Belgium,2013,Nuclear,42644.0,76556.4,0.5570272374354072
Belgium,2014,Nuclear,33703.0,65581.7,0.5139086056018676
Belgium,2015,Nuclear,26103.0,62704.899999999994,0.41628325697034846
Belgium,2016,Nuclear,43523.0,78396.8,0.5551629658353402
Belgium,2017,Nuclear,42226.8,79087.1,0.5339277834185348
Belgium,2018,Nuclear,28597.0,67145.5,0.42589600196588007
Belgium,2019,Nuclear,43523.6,85512.9,0.508971161076282
Belgium,2020,Nuclear,34434.7,80854.8,0.4258831881347798
Belgium,2021,Nuclear,50326.2,91239.40000000001,0.5515840744239878
Belgium,2022,Nuclear,43879.1,84645.9,0.5183842336132052
Belgium,2023,Nuclear,32927.9,72153.7,0.4563577474197443
Belgium,2024,Nuclear,31254.6,64615.0,0.4837050220537027
Bosnia and Herzegovina,2014,Coal,11012.0,16978.0,0.6486040758628814
Bosnia and Herzegovina,2015,Coal,10803.0,16387.0,0.6592420821382804
Bosnia and Herzegovina,2016,Coal,12021.0,17684.0,0.6797670210359648
Bosnia and Herzegovina,2017,Coal,12339.0,16158.0,0.7636464909023394
Bosnia and Herzegovina,2018,Coal,12437.0,18991.0,0.654889158022221
Bosnia and Herzegovina,2019,Coal,10963.0,17346.0,0.6320189092586187
Bosnia and Herzegovina,2020,Coal,11782.0,16638.0,0.7081379973554514
Bosnia and Herzegovina,2021,Coal,11111.0,18230.0,0.609489851892485
Bosnia and Herzegovina,2022,Coal,10936.0,16080.0,0.6800995024875622
Bosnia and Herzegovina,2023,Coal,9585.0,16736.0,0.5727174952198852
Bosnia and Herzegovina,2024,Coal,9660.0,15174.0,0.6366152629497825
Bulgaria,2000,Nuclear,18178.0,39677.0,0.4581495576782519
Bulgaria,2001,Nuclear,19553.0,42609.0,0.4588936609636462
Bulgaria,2002,Nuclear,20222.0,41070.0,0.49237886535183834
Bulgaria,2003,Coal,19237.0,41280.0,0.4660125968992248
Bulgaria,2004,Coal,18902.0,40369.811,0.4682211665543839
Bulgaria,2005,Nuclear,18653.0,43159.015,0.43219243998038415
Bulgaria,2006,Nuclear,19493.0,44975.021,0.4334183634955946
Bulgaria,2007,Coal,22368.0,42229.649,0.5296752525695868
Bulgaria,2008,Coal,23181.0,44236.0,0.5240302016457185
Bulgaria,2009,Coal,21103.0,41996.123,0.5024987663742199
Bulgaria,2010,Coal,22606.0,45569.517,0.4960772351394464
Bulgaria,2011,Coal,27537.0,49716.413,0.55388147169829
Bulgaria,2012,Coal,22876.0,45481.361000000004,0.5029752737610468
Bulgaria,2013,Coal,19391.598,41422.961,0.46813645214788
Bulgaria,2014,Coal,21305.0,45446.998,0.46878783940800667
Bulgaria,2015,Coal,22522.0,47145.238000000005,0.4777152678707444
Bulgaria,2016,Coal,19364.0,42851.426,0.45188694537259977
Bulgaria,2017,Coal,20914.091,43114.384,0.48508384116075975
Bulgaria,2018,Coal,18659.473,44864.36200000001,0.41590857794879593
Bulgaria,2019,Coal,17202.075,41987.88,0.4096914395296929
Bulgaria,2020,Nuclear,16625.765,38429.487,0.43263041736674757
Bulgaria,2021,Coal,17085.89,45460.114,0.3758435361600721
Bulgaria,2022,Coal,21785.51,47846.937,0.4553167112870778
Bulgaria,2023,Nuclear,16163.276,36371.485,0.44439417307266943
Bulgaria,2024,Nuclear,15777.075,32478.735,0.485766302166633
Croatia,2000,Hydro,6452.9,9575.9,0.6738687747365782
Croatia,2001,Hydro,7180.4,10637.4,0.6750145712298118
Croatia,2002,Hydro,5851.4,10487.4,0.5579457253466064
Croatia,2003,Hydro,5457.8,9922.8,0.5500262022816141
Croatia,2004,Hydro,7626.6,12230.6,0.6235671185387471
Croatia,2005,Hydro,7035.5,11201.5,0.6280855242601437
Croatia,2006,Hydro,6617.0,10962.0,0.6036307243203795
Croatia,2007,Hydro,4699.8,10228.7,0.45947187814678303
Croatia,2008,Hydro,5780.0,10795.300000000001,0.5354181912498958
Croatia,2009,Hydro,7408.401,11354.97,0.652436862448778
Croatia,2010,Hydro,9126.203,14236.24,0.641054309283912
Croatia,2011,Hydro,5031.887,10490.132,0.4796781394171208
Croatia,2012,Hydro,4836.9,10008.652,0.48327187317532866
Croatia,2013,Hydro,8621.7,13706.482,0.6290235525060334
Croatia,2014,Hydro,9006.12,13270.668,0.6786485804633197
Croatia,2015,Hydro,6390.636,10959.312000000002,0.5831238311310053
Croatia,2016,Hydro,6852.099,12479.871,0.5490520695286033
Croatia,2017,Hydro,5307.4,11494.199999999999,0.46174592403125053
Croatia,2018,Hydro,7700.9,13404.3,0.5745096722693465
Croatia,2019,Hydro,5826.1,12532.500000000002,0.46487931378416114
Croatia,2020,Hydro,5662.4,13107.5,0.43199694831203506
Croatia,2021,Hydro,7127.7,14931.4,0.4773631407637596
Croatia,2022,Hydro,5459.7,13867.4,0.3937075443125604
Croatia,2023,Hydro,8160.5,17003.5,0.47993060252300995
Croatia,2024,Hydro,6727.0,14359.2,0.4684801381692573
Cyprus,2000,Bioenergy,0.0,0.0,0.0
Cyprus,2001,Bioenergy,0.0,0.0,0.0
Cyprus,2002,Bioenergy,0.0,0.0,0.0
Cyprus,2003,Bioenergy,0.0,0.0,0.0
Cyprus,2004,Wind,0.355,0.355,1.0
Cyprus,2005,Wind,0.355,0.355,1.0
Cyprus,2006,Wind,0.355,0.51,0.696078431372549
Cyprus,2007,Bioenergy,1.437,1.792,0.8018973214285714
Cyprus,2008,Bioenergy,11.54,11.895,0.9701555275325767
Cyprus,2009,Bioenergy,26.518,26.873,0.9867897145834108
Cyprus,2010,Bioenergy,35.124,66.849,0.5254229681820222
Cyprus,2011,Wind,114.665,166.275,0.689610584874455
Cyprus,2012,Wind,185.478,235.29700000000003,0.788271843669915
Cyprus,2013,Wind,231.04,279.904,0.8254258602949582
Cyprus,2014,Wind,182.85,233.332,0.7836473351276293
Cyprus,2015,Wind,221.857,273.093,0.8123862566964367
Cyprus,2016,Wind,226.701,278.722,0.813358830662811
Cyprus,2017,Wind,211.448,263.198,0.8033799648933504
Cyprus,2018,Wind,221.04,277.936,0.7952910022451212
Cyprus,2019,Wind,238.565,296.485,0.8046444170868677
Cyprus,2020,Wind,240.408,301.03999999999996,0.7985915492957747
Cyprus,2021,Wind,246.478,306.418,0.8043848598972645
Cyprus,2022,Wind,224.266,282.106,0.7949706847780621
Cyprus,2023,Wind,208.477,262.35,0.794652182199352
Cyprus,2024,Wind,202.649,257.96500000000003,0.7855678095865717
Czechia,2000,Coal,52752.0,70321.868,0.7501507212521715
Czechia,2001,Coal,52594.0,71505.31599999999,0.7355257334993108
Czechia,2002,Coal,49907.0,73254.361,0.681283671288867
Czechia,2003,Coal,50779.0,80119.957,0.6337871599207174
Czechia,2004,Coal,50308.0,80925.212,0.6216604041766366
Czechia,2005,Coal,49522.0,78860.065,0.6279731065400466
Czechia,2006,Coal,49649.0,80787.427,0.6145634518103913
Czechia,2007,Coal,53794.0,84754.969,0.6347002498461182
Czechia,2008,Coal,48778.0,80075.555,0.6091496961838104
Czechia,2009,Coal,45946.0,78704.80500000001,0.5837763018407833
Czechia,2010,Coal,46900.0,81574.553,0.5749341954714726
Czechia,2011,Coal,46685.0,81494.989,0.5728573078278469
Czechia,2012,Coal,43978.0,81762.524,0.5378747847852642
Czechia,2013,Coal,41113.0,81223.607,0.5061705767388538
Czechia,2014,Coal,40727.0,79975.935,0.5092406859638465
Czechia,2015,Coal,41141.0,77480.012,0.5309885599914466
Czechia,2016,Coal,41974.0,77121.621,0.5442572323525202
Czechia,2017,Coal,41443.797,80982.17599999999,0.5117644282613498
Czechia,2018,Coal,41201.476,82020.3,0.502332666425263
Czechia,2019,Coal,37335.603,81196.792,0.45981623264130933
Czechia,2020,Coal,31005.35,76048.612,0.4077043510011728
Czechia,2021,Coal,34177.071,80695.403,0.42353182126124334
Czechia,2022,Coal,36882.134,80458.556,0.45839915396940506
Czechia,2023,Nuclear,30410.464,72391.856,0.42008128649167387
Czechia,2024,Nuclear,29696.397,68902.182,0.4309935641805945
Denmark,2000,Coal,16673.0,31574.0,0.5280610628998543
Denmark,2001,Coal,17819.0,33528.0,0.5314662371748986
Denmark,2002,Coal,18257.0,35258.0,0.5178115604969085
Denmark,2003,Coal,25307.0,43816.0,0.5775744020449151
Denmark,2004,Coal,18673.0,38779.0,0.48152350498981406
Denmark,2005,Coal,15463.0,34869.0,0.4434598067050962
Denmark,2006,Coal,24566.0,43990.0,0.5584451011593544
Denmark,2007,Coal,19891.0,38026.0,0.5230894651028244
Denmark,2008,Coal,17462.0,35492.0,0.4919981967767384
Denmark,2009,Coal,17687.0,35209.0,0.5023431508989179
Denmark,2010,Coal,17006.0,38082.069,0.4465618714151271
Denmark,2011,Coal,13976.0,34761.181,0.402057686129824
Denmark,2012,Coal,10539.0,30194.257,0.3490398853000423
Denmark,2013,Coal,14292.0,33873.156,0.4219270268173417
Denmark,2014,Wind,13078.504,31272.102,0.41821633863946855
Denmark,2015,Wind,14133.092,28012.397,0.5045299050988032
Denmark,2016,Wind,12781.731,29467.908000000003,0.433750879091926
Denmark,2017,Wind,14780.0,29991.173000000003,0.4928116682865321
Denmark,2018,Wind,13901.955,29152.032,0.47687773531532895
Denmark,2019,Wind,16149.833,28311.877,0.5704260794860051
Denmark,2020,Wind,16330.214,27285.184999999998,0.598501127993085
Denmark,2021,Wind,16054.467,31484.827,0.5099112343860107
Denmark,2022,Wind,19048.16,32615.828999999998,0.5840158163694077
Denmark,2023,Wind,19434.295,30172.138,0.6441139504267148
Denmark,2024,Wind,20552.836,31317.903,0.6562647569347156
Estonia,2000,Natural Gas,596.0,614.25,0.9702889702889703
Estonia,2001,Natural Gas,599.0,617.0,0.9708265802269044
Estonia,2002,Natural Gas,529.0,559.0,0.9463327370304114
Estonia,2003,Natural Gas,504.0,553.0,0.9113924050632911
Estonia,2004,Natural Gas,487.0,547.0,0.8903107861060329
Estonia,2005,Natural Gas,544.0,655.331,0.8301148579877955
Estonia,2006,Natural Gas,539.0,668.799,0.8059222576588781
Estonia,2007,Natural Gas,344.0,489.56,0.7026717869106953
Estonia,2008,Natural Gas,423.0,620.999,0.6811605171666942
Estonia,2009,Bioenergy,312.779,648.3199999999999,0.4824453973346496
Estonia,2010,Bioenergy,740.0100000000001,1346.883,0.5494241147894806
Estonia,2011,Bioenergy,781.033,1429.72,0.5462838877542456
Estonia,2012,Bioenergy,1000.903,1602.478,0.6245970303492466
Estonia,2013,Bioenergy,725.0,1381.571,0.5247649234096547
Estonia,2014,Bioenergy,831.0,1536.714,0.5407642541162506
Estonia,2015,Bioenergy,888.0,1691.6,0.5249467959328447
Estonia,2016,Bioenergy,1013.572,1716.5720000000001,0.5904628527087707
Estonia,2017,Bioenergy,1178.659,2008.259,0.5869058722007471
Estonia,2018,Bioenergy,1403.839,2112.839,0.6644325478656916
Estonia,2019,Bioenergy,1426.774,2170.837,0.6572460299875117
Estonia,2020,Bioenergy,1926.126,2826.518,0.6814483403254463
Estonia,2021,Bioenergy,1861.011,2658.361,0.7000595479695948
Estonia,2022,Bioenergy,1664.291,2411.053,0.6902755766878621
Estonia,2023,Bioenergy,1466.989,2195.489,0.6681832612233539
Estonia,2024,Bioenergy,1430.7559999999999,2704.216,0.5290834755803531
European Union - 27 countries (from 2020),2000,Nuclear,859930.0,2409736.398,0.3568564597827849
European Union - 27 countries (from 2020),2001,Nuclear,888892.0,2486039.224,0.35755348967092565
European Union - 27 countries (from 2020),2002,Nuclear,902348.0,2492419.6410000003,0.36203694801488684
European Union - 27 countries (from 2020),2003,Nuclear,907174.0,2582582.83,0.35126617797579024
