geo,TIME_PERIOD,energy_group,generation_gwh,total_gwh,share
Albania,2000,Bioenergy,0.0,4594.0,0.0
Albania,2000,Coal,0.0,4594.0,0.0
Albania,2000,Geothermal,0.0,4594.0,0.0
Albania,2000,Hydro,4594.0,4594.0,1.0
Albania,2000,Natural Gas,0.0,4594.0,0.0
Albania,2000,Nuclear,0.0,4594.0,0.0
Albania,2000,Wind,0.0,4594.0,0.0
Albania,2001,Bioenergy,0.0,3555.0,0.0
Albania,2001,Coal,0.0,3555.0,0.0
Albania,2001,Geothermal,0.0,3555.0,0.0
Albania,2001,Hydro,3555.0,3555.0,1.0
Albania,2001,Natural Gas,0.0,3555.0,0.0
Albania,2001,Nuclear,0.0,3555.0,0.0
Albania,2001,Wind,0.0,3555.0,0.0
Albania,2002,Bioenergy,0.0,3512.0,0.0
Albania,2002,Coal,0.0,3512.0,0.0
Albania,2002,Geothermal,0.0,3512.0,0.0
Albania,2002,Hydro,3512.0,3512.0,1.0
Albania,2002,Natural Gas,0.0,3512.0,0.0
Albania,2002,Nuclear,0.0,3512.0,0.0
Albania,2002,Wind,0.0,3512.0,0.0
Albania,2003,Bioenergy,0.0,4885.0,0.0
Albania,2003,Coal,0.0,4885.0,0.0
Albania,2003,Geothermal,0.0,4885.0,0.0
Albania,2003,Hydro,4885.0,4885.0,1.0
Albania,2003,Natural Gas,0.0,4885.0,0.0
Albania,2003,Nuclear,0.0,4885.0,0.0
Albania,2003,Wind,0.0,4885.0,0.0
Albania,2004,Bioenergy,0.0,5466.0,0.0
Albania,2004,Coal,0.0,5466.0,0.0
Albania,2004,Geothermal,0.0,5466.0,0.0
Albania,2004,Hydro,5466.0,5466.0,1.0
Albania,2004,Natural Gas,0.0,5466.0,0.0
Albania,2004,Nuclear,0.0,5466.0,0.0
Albania,2004,Wind,0.0,5466.0,0.0
Albania,2005,Bioenergy,0.0,5373.0,0.0
Albania,2005,Coal,0.0,5373.0,0.0
Albania,2005,Geothermal,0.0,5373.0,0.0
Albania,2005,Hydro,5373.0,5373.0,1.0
Albania,2005,Natural Gas,0.0,5373.0,0.0
Albania,2005,Nuclear,0.0,5373.0,0.0
Albania,2005,Wind,0.0,5373.0,0.0
Albania,2006,Bioenergy,0.0,5431.0,0.0
Albania,2006,Coal,0.0,5431.0,0.0
Albania,2006,Geothermal,0.0,5431.0,0.0
Albania,2006,Hydro,5431.0,5431.0,1.0
Albania,2006,Natural Gas,0.0,5431.0,0.0
Albania,2006,Nuclear,0.0,5431.0,0.0
Albania,2006,Wind,0.0,5431.0,0.0
Albania,2007,Bioenergy,0.0,2788.0,0.0
Albania,2007,Coal,0.0,2788.0,0.0
Albania,2007,Geothermal,0.0,2788.0,0.0
Albania,2007,Hydro,2788.0,2788.0,1.0
Albania,2007,Natural Gas,0.0,2788.0,0.0
Albania,2007,Nuclear,0.0,2788.0,0.0
Albania,2007,Wind,0.0,2788.0,0.0
Albania,2008,Bioenergy,0.0,3797.0,0.0
Albania,2008,Coal,0.0,3797.0,0.0
Albania,2008,Geothermal,0.0,3797.0,0.0
Albania,2008,Hydro,3797.0,3797.0,1.0
Albania,2008,Natural Gas,0.0,3797.0,0.0
Albania,2008,Nuclear,0.0,3797.0,0.0
Albania,2008,Wind,0.0,3797.0,0.0
Albania,2009,Bioenergy,0.0,5201.0,0.0
Albania,2009,Coal,0.0,5201.0,0.0
Albania,2009,Geothermal,0.0,5201.0,0.0
Albania,2009,Hydro,5201.0,5201.0,1.0
Albania,2009,Natural Gas,0.0,5201.0,0.0
Albania,2009,Nuclear,0.0,5201.0,0.0
Albania,2009,Wind,0.0,5201.0,0.0
Albania,2010,Bioenergy,0.0,7567.0,0.0
Albania,2010,Coal,0.0,7567.0,0.0
Albania,2010,Geothermal,0.0,7567.0,0.0
Albania,2010,Hydro,7567.0,7567.0,1.0
Albania,2010,Natural Gas,0.0,7567.0,0.0
Albania,2010,Nuclear,0.0,7567.0,0.0
Albania,2010,Wind,0.0,7567.0,0.0
Albania,2011,Bioenergy,0.0,4132.0,0.0
Albania,2011,Coal,0.0,4132.0,0.0
Albania,2011,Geothermal,0.0,4132.0,0.0
Albania,2011,Hydro,4132.0,4132.0,1.0
Albania,2011,Natural Gas,0.0,4132.0,0.0
Albania,2011,Nuclear,0.0,4132.0,0.0
Albania,2011,Wind,0.0,4132.0,0.0
Albania,2012,Bioenergy,0.0,4725.0,0.0
Albania,2012,Coal,0.0,4725.0,0.0
Albania,2012,Geothermal,0.0,4725.0,0.0
Albania,2012,Hydro,4725.0,4725.0,1.0
Albania,2012,Natural Gas,0.0,4725.0,0.0
Albania,2012,Nuclear,0.0,4725.0,0.0
Albania,2012,Wind,0.0,4725.0,0.0
Albania,2013,Bioenergy,0.0,6959.0,0.0
Albania,2013,Coal,0.0,6959.0,0.0
Albania,2013,Geothermal,0.0,6959.0,0.0
Albania,2013,Hydro,6959.0,6959.0,1.0
Albania,2013,Natural Gas,0.0,6959.0,0.0
Albania,2013,Nuclear,0.0,6959.0,0.0
Albania,2013,Wind,0.0,6959.0,0.0
Albania,2014,Bioenergy,0.0,4724.441,0.0
Albania,2014,Coal,0.0,4724.441,0.0
Albania,2014,Geothermal,0.0,4724.441,0.0
Albania,2014,Hydro,4724.441,4724.441,1.0
Albania,2014,Natural Gas,0.0,4724.441,0.0
Albania,2014,Nuclear,0.0,4724.441,0.0
Albania,2014,Wind,0.0,4724.441,0.0
Albania,2015,Bioenergy,0.0,5895.0,0.0
Albania,2015,Coal,0.0,5895.0,0.0
Albania,2015,Geothermal,0.0,5895.0,0.0
Albania,2015,Hydro,5895.0,5895.0,1.0
Albania,2015,Natural Gas,0.0,5895.0,0.0
Albania,2015,Nuclear,0.0,5895.0,0.0
Albania,2015,Wind,0.0,5895.0,0.0
Albania,2016,Bioenergy,0.0,7781.702,0.0
Albania,2016,Coal,0.0,7781.702,0.0
Albania,2016,Geothermal,0.0,7781.702,0.0
Albania,2016,Hydro,7781.702,7781.702,1.0
Albania,2016,Natural Gas,0.0,7781.702,0.0
Albania,2016,Nuclear,0.0,7781.702,0.0
Albania,2016,Wind,0.0,7781.702,0.0
Albania,2017,Bioenergy,0.0,4524.979,0.0
Albania,2017,Coal,0.0,4524.979,0.0
Albania,2017,Geothermal,0.0,4524.979,0.0
Albania,2017,Hydro,4524.979,4524.979,1.0
Albania,2017,Natural Gas,0.0,4524.979,0.0
Albania,2017,Nuclear,0.0,4524.979,0.0
Albania,2017,Wind,0.0,4524.979,0.0
Albania,2018,Bioenergy,0.0,8552.152,0.0
Albania,2018,Coal,0.0,8552.152,0.0
Albania,2018,Geothermal,0.0,8552.152,0.0
Albania,2018,Hydro,8552.152,8552.152,1.0
Albania,2018,Natural Gas,0.0,8552.152,0.0
Albania,2018,Nuclear,0.0,8552.152,0.0
